 *  Header:   lsnudge_time1 (s)   lsnudge_time2 (s)
                     0.0                1.0e30 
 *  Profile.   Note: values will be ignored if nudging for that variable is off.
 *    z (m)   theta (K)    qv (g/kg)  u (m/s, grnd-reltv) v (m/s, grnd-reltv)
      10.0000     300.0500   20.475023      40.0000      -0.0000
      30.0000     300.1500   20.404547      40.0000      -0.0000
      50.0000     300.2500   20.334156      40.0000      -0.0000
      70.0000     300.3500   20.263897      40.0000      -0.0000
      90.0000     300.4500   20.193743      40.0000      -0.0000
     110.0000     300.5500   20.123697      40.0000      -0.0000
     130.0000     300.6500   20.053730      40.0000      -0.0000
     150.0000     300.7500   19.983843      40.0000      -0.0000
     170.0000     300.8500   19.914127      40.0000      -0.0000
     190.0000     300.9500   19.844481      40.0000      -0.0000
     210.0000     301.0500   19.774944      40.0000      -0.0000
     230.0000     301.1500   19.705559      40.0000      -0.0000
     250.0000     301.2500   19.636190      40.0000      -0.0000
     270.0000     301.3500   19.566986      40.0000      -0.0000
     290.0000     301.4500   19.497900      40.0000      -0.0000
     310.0000     301.5500   19.428885      40.0000      -0.0000
     330.0000     301.6500   19.360016      40.0000      -0.0000
     350.0000     301.7500   19.291172      40.0000      -0.0000
     370.0000     301.8500   19.222530      40.0000      -0.0000
     390.0000     301.9500   19.153973      40.0000      -0.0000
     410.0000     302.0500   19.085485      40.0000      -0.0000
     430.0000     302.1500   19.017183      40.0000      -0.0000
     450.0000     302.2500   18.948914      40.0000      -0.0000
     470.0000     302.3500   18.880772      40.0000      -0.0000
     490.0000     302.4500   18.812819      40.0000      -0.0000
     510.0000     302.5500   18.744875      40.0000      -0.0000
     530.0000     302.6500   18.677114      40.0000      -0.0000
     550.0000     302.7500   18.609386      40.0000      -0.0000
     570.0000     302.8500   18.541853      40.0000      -0.0000
     590.0000     302.9500   18.474415      40.0000      -0.0000
     610.0000     303.0500   18.407055      40.0000      -0.0000
     630.0000     303.1500   18.339846      40.0000      -0.0000
     650.0000     303.2500   18.272701      40.0000      -0.0000
     670.0000     303.3500   18.205729      40.0000      -0.0000
     690.0000     303.4500   18.138842      40.0000      -0.0000
     710.0000     303.5500   18.072071      40.0000      -0.0000
     730.0000     303.6500   18.005421      40.0000      -0.0000
     750.0000     303.7500   17.938869      40.0000      -0.0000
     770.0000     303.8500   17.872461      40.0000      -0.0000
     790.0000     303.9500   17.806168      40.0000      -0.0000
     810.0000     304.0500   17.739965      40.0000      -0.0000
     830.0000     304.1500   17.673948      40.0000      -0.0000
